estimate	std.error	statistic	p.value	term	cell_type	conf.low	conf.high	converged	q.value	sig	direction
0.814387185480089	0.171813692685802	4.73994343960332	2.13777885795474e-06	conditiontumor	Astrocytes	0.477632347815917	1.15114202314426	TRUE	1.42518590530316e-05	TRUE	Enriched in tumor
21.3567926072575	10008.5180418727	0.00213386162845558	0.998297426043839	conditiontumor	B_Cells	-19595.3385694632	19638.0521546777	TRUE	0.99951026755418	FALSE	Enriched in tumor
-22.6093932621415	36835.7964318368	-0.000613788636387414	0.99951026755418	conditiontumor	Choroid_Plexus	-72220.7703996622	72175.5516131379	TRUE	0.99951026755418	FALSE	Depleted in tumor
22.6247963553632	5757.53452383964	0.0039295980357014	0.996864642466384	conditiontumor	Cycling_Cells	-11262.1428703703	11307.392463081	TRUE	0.99951026755418	FALSE	Enriched in tumor
23.1319738975691	5976.0127697019	0.00387080396060181	0.996911552994374	conditiontumor	Endothelial	-11689.8530547182	11736.1170025133	TRUE	0.99951026755418	FALSE	Enriched in tumor
-1.56285996308362	0.288831512938973	-5.4109745407657	6.26826841553642e-08	conditiontumor	Excitatory_Neurons	-2.12896972844401	-0.996750197723235	TRUE	6.26826841553642e-07	TRUE	Depleted in tumor
-2.07150081536745	0.267963652137783	-7.73052911781599	1.07100488860979e-14	conditiontumor	Inhibitory_Neurons	-2.5967095735575	-1.54629205717739	TRUE	2.14200977721958e-13	TRUE	Depleted in tumor
23.0596265793426	5939.67512292137	0.00388230435202674	0.996902377078559	conditiontumor	Macrophage	-11618.7036143465	11664.8228675052	TRUE	0.99951026755418	FALSE	Enriched in tumor
-0.0504502173157425	0.19456207314855	-0.259301396717865	0.795402701830941	conditiontumor	Microglia	-0.431791880686901	0.330891446055416	TRUE	0.99951026755418	FALSE	Depleted in tumor
22.6358788023215	5553.10093607406	0.00407625920416363	0.996747624722021	conditiontumor	Monocytes	-10861.4419559028	10906.7137135075	TRUE	0.99951026755418	FALSE	Enriched in tumor
21.5311934063774	8795.17365274344	0.00244806916343958	0.998046725361724	conditiontumor	NK_Cells	-17217.0091659708	17260.0715527835	TRUE	0.99951026755418	FALSE	Enriched in tumor
22.579541766577	6829.67640265729	0.00330609247574187	0.997362124662458	conditiontumor	Neutrophil	-13363.5862074417	13408.7452909749	TRUE	0.99951026755418	FALSE	Enriched in tumor
0.772450676326538	0.202901622610223	3.80702069500167	0.000140650979574821	conditiontumor	OPC	0.374763496010501	1.17013785664258	TRUE	0.000703254897874106	TRUE	Enriched in tumor
0.691846700424776	0.254271616813064	2.72089629623667	0.0065105182301288	conditiontumor	Oligodendrocytes	0.19347433147117	1.19021906937838	TRUE	0.0217017274337627	TRUE	Enriched in tumor
22.4761561245488	5755.51546673146	0.00390515085129516	0.996884148347709	conditiontumor	Pericytes	-11258.3341586691	11303.2864709182	TRUE	0.99951026755418	FALSE	Enriched in tumor
22.2937495167216	5800.43022494318	0.00384346482108402	0.996933366309436	conditiontumor	T_Cells	-11346.5494913719	11391.1369904053	TRUE	0.99951026755418	FALSE	Enriched in tumor
22.4485901668657	5833.7389031552	0.0038480622015367	0.996929698157678	conditiontumor	Unknown_Neurons	-11411.6796600173	11456.576840351	TRUE	0.99951026755418	FALSE	Enriched in tumor
1.14071707454783	0.310904786477999	3.66902384318406	0.000243478373049807	conditiontumor	VLMC	0.531343693050951	1.75009045604471	TRUE	0.000973913492199227	TRUE	Enriched in tumor
-23.8043540397312	9297.74327157757	-0.00256022922384823	0.997957234861819	conditiontumor	Vascular	-18247.3811663318	18199.7724582523	TRUE	0.99951026755418	FALSE	Depleted in tumor
22.8627172909991	6308.17852537223	0.00362429775870207	0.997108235105393	conditiontumor	cDC	-12341.1671924386	12386.8926270206	TRUE	0.99951026755418	FALSE	Enriched in tumor
