5	10	0.1	0.8	20	30	50	0.75	1
15	10	0.1	0.8	20	30	50	0.75	1
50	10	0.1	0.8	20	30	50	0.75	1
5	30	0.1	0.8	20	30	50	0.75	1
15	30	0.1	0.8	20	30	50	0.75	1
50	30	0.1	0.8	20	30	50	0.75	1
5	100	0.1	0.8	20	30	50	0.75	1
15	100	0.1	0.8	20	30	50	0.75	1
50	100	0.1	0.8	20	30	50	0.75	1
5	10	0.2	0.8	20	30	50	0.75	1
15	10	0.2	0.8	20	30	50	0.75	1
50	10	0.2	0.8	20	30	50	0.75	1
5	30	0.2	0.8	20	30	50	0.75	1
15	30	0.2	0.8	20	30	50	0.75	1
50	30	0.2	0.8	20	30	50	0.75	1
5	100	0.2	0.8	20	30	50	0.75	1
15	100	0.2	0.8	20	30	50	0.75	1
50	100	0.2	0.8	20	30	50	0.75	1
5	10	0.1	0.9	20	30	50	0.75	1
15	10	0.1	0.9	20	30	50	0.75	1
50	10	0.1	0.9	20	30	50	0.75	1
5	30	0.1	0.9	20	30	50	0.75	1
15	30	0.1	0.9	20	30	50	0.75	1
50	30	0.1	0.9	20	30	50	0.75	1
5	100	0.1	0.9	20	30	50	0.75	1
15	100	0.1	0.9	20	30	50	0.75	1
50	100	0.1	0.9	20	30	50	0.75	1
5	10	0.2	0.9	20	30	50	0.75	1
15	10	0.2	0.9	20	30	50	0.75	1
50	10	0.2	0.9	20	30	50	0.75	1
5	30	0.2	0.9	20	30	50	0.75	1
15	30	0.2	0.9	20	30	50	0.75	1
50	30	0.2	0.9	20	30	50	0.75	1
5	100	0.2	0.9	20	30	50	0.75	1
15	100	0.2	0.9	20	30	50	0.75	1
50	100	0.2	0.9	20	30	50	0.75	1
5	10	0.1	0.8	30	30	50	0.75	1
15	10	0.1	0.8	30	30	50	0.75	1
50	10	0.1	0.8	30	30	50	0.75	1
5	30	0.1	0.8	30	30	50	0.75	1
15	30	0.1	0.8	30	30	50	0.75	1
50	30	0.1	0.8	30	30	50	0.75	1
5	100	0.1	0.8	30	30	50	0.75	1
15	100	0.1	0.8	30	30	50	0.75	1
50	100	0.1	0.8	30	30	50	0.75	1
5	10	0.2	0.8	30	30	50	0.75	1
15	10	0.2	0.8	30	30	50	0.75	1
50	10	0.2	0.8	30	30	50	0.75	1
5	30	0.2	0.8	30	30	50	0.75	1
15	30	0.2	0.8	30	30	50	0.75	1
50	30	0.2	0.8	30	30	50	0.75	1
5	100	0.2	0.8	30	30	50	0.75	1
15	100	0.2	0.8	30	30	50	0.75	1
50	100	0.2	0.8	30	30	50	0.75	1
5	10	0.1	0.9	30	30	50	0.75	1
15	10	0.1	0.9	30	30	50	0.75	1
50	10	0.1	0.9	30	30	50	0.75	1
5	30	0.1	0.9	30	30	50	0.75	1
15	30	0.1	0.9	30	30	50	0.75	1
50	30	0.1	0.9	30	30	50	0.75	1
5	100	0.1	0.9	30	30	50	0.75	1
15	100	0.1	0.9	30	30	50	0.75	1
50	100	0.1	0.9	30	30	50	0.75	1
5	10	0.2	0.9	30	30	50	0.75	1
15	10	0.2	0.9	30	30	50	0.75	1
50	10	0.2	0.9	30	30	50	0.75	1
5	30	0.2	0.9	30	30	50	0.75	1
15	30	0.2	0.9	30	30	50	0.75	1
50	30	0.2	0.9	30	30	50	0.75	1
5	100	0.2	0.9	30	30	50	0.75	1
15	100	0.2	0.9	30	30	50	0.75	1
50	100	0.2	0.9	30	30	50	0.75	1
5	10	0.1	0.8	50	30	50	0.75	1
15	10	0.1	0.8	50	30	50	0.75	1
50	10	0.1	0.8	50	30	50	0.75	1
5	30	0.1	0.8	50	30	50	0.75	1
15	30	0.1	0.8	50	30	50	0.75	1
50	30	0.1	0.8	50	30	50	0.75	1
5	100	0.1	0.8	50	30	50	0.75	1
15	100	0.1	0.8	50	30	50	0.75	1
50	100	0.1	0.8	50	30	50	0.75	1
5	10	0.2	0.8	50	30	50	0.75	1
15	10	0.2	0.8	50	30	50	0.75	1
50	10	0.2	0.8	50	30	50	0.75	1
5	30	0.2	0.8	50	30	50	0.75	1
15	30	0.2	0.8	50	30	50	0.75	1
50	30	0.2	0.8	50	30	50	0.75	1
5	100	0.2	0.8	50	30	50	0.75	1
15	100	0.2	0.8	50	30	50	0.75	1
50	100	0.2	0.8	50	30	50	0.75	1
5	10	0.1	0.9	50	30	50	0.75	1
15	10	0.1	0.9	50	30	50	0.75	1
50	10	0.1	0.9	50	30	50	0.75	1
5	30	0.1	0.9	50	30	50	0.75	1
15	30	0.1	0.9	50	30	50	0.75	1
50	30	0.1	0.9	50	30	50	0.75	1
5	100	0.1	0.9	50	30	50	0.75	1
15	100	0.1	0.9	50	30	50	0.75	1
50	100	0.1	0.9	50	30	50	0.75	1
5	10	0.2	0.9	50	30	50	0.75	1
15	10	0.2	0.9	50	30	50	0.75	1
50	10	0.2	0.9	50	30	50	0.75	1
5	30	0.2	0.9	50	30	50	0.75	1
15	30	0.2	0.9	50	30	50	0.75	1
50	30	0.2	0.9	50	30	50	0.75	1
5	100	0.2	0.9	50	30	50	0.75	1
15	100	0.2	0.9	50	30	50	0.75	1
50	100	0.2	0.9	50	30	50	0.75	1
